r1,r2,r3,r4,t,d1,d2,h,p,freq_ghz,rotation
10.3,8.3,6.6,4.0,1.0,1.0,2.0,0.48,8.0,5.6,180
10.0,8.0,6.5,4.0,1.0,1.0,2.0,0.38,7.0,5.8,180
9.7,7.7,6.3,4.0,1.0,1.0,2.0,0.47,7.0,6.0,180
9.2,7.2,6.2,3.0,1.0,1.0,2.0,1.11,11.0,6.2,180
9.2,7.2,6.2,3.0,1.0,1.0,2.0,0.66,10.5,6.4,180
9.1,7.1,6.1,3.0,1.0,1.0,2.0,0.41,9.5,6.6,180
8.9,6.9,5.9,3.0,1.0,1.0,2.0,0.35,8.5,6.8,180
8.7,6.7,5.7,3.0,1.0,1.0,2.0,0.43,8.5,7.0,180
8.6,6.6,5.5,3.0,1.0,1.0,2.0,0.27,7.5,7.2,180
8.4,6.4,5.3,3.0,1.0,1.0,2.0,0.35,7.5,7.4,180
8.3,6.3,5.2,3.0,1.0,1.0,2.0,0.25,7.0,7.6,180
8.1,6.1,4.8,3.0,1.0,1.0,2.0,0.46,6.5,7.8,180
8.0,6.0,4.6,2.8,1.0,1.0,2.0,0.34,6.5,8.0,180
7.9,5.9,4.5,2.8,1.0,1.0,2.0,0.63,8.0,8.2,180
7.9,5.9,4.5,2.8,1.0,1.0,2.0,0.3,8.0,8.4,180
7.6,5.6,4.3,2.8,1.0,1.0,2.0,0.3,5.5,8.6,180
7.5,5.5,4.2,3.0,1.0,1.0,2.0,0.37,5.0,8.8,180
7.4,5.4,4.3,2.8,1.0,1.0,2.0,0.5,7.5,9.0,180
7.3,5.3,4.3,2.8,1.0,1.0,2.0,0.3,6.5,9.2,180
7.1,5.1,4.1,2.8,1.0,1.0,2.0,0.27,4.5,9.4,180
7.0,5.0,4.1,3.0,1.0,1.0,2.0,0.0,4.0,9.6,180
6.9,4.9,3.9,2.7,1.0,1.0,2.0,0.3,4.0,9.8,180
6.9,4.9,4.0,2.7,1.0,1.0,2.0,0.3,6.5,10.0,180
6.8,4.8,3.9,2.6,1.0,1.0,2.0,0.34,6.5,10.2,180
6.7,4.7,3.9,2.5,1.0,1.0,2.0,0.3,7.0,10.4,180
6.6,4.6,3.8,2.5,1.0,1.0,2.0,0.39,7.0,10.6,180
6.5,4.5,3.7,2.5,1.0,1.0,2.0,0.41,6.0,10.8,180
6.4,4.4,3.6,2.0,1.0,1.0,2.0,0.3,5.0,11.0,180
6.35,4.35,3.35,2.0,1.0,1.0,2.0,0.33,5.0,11.2,180
6.35,4.35,3.25,2.0,1.0,1.0,2.0,0.26,5.0,11.4,180
6.3,4.3,3.2,1.8,1.0,1.0,2.0,0.3,5.5,11.6,180
6.25,4.25,3.15,1.8,1.0,1.0,2.0,0.3,5.5,11.8,180
43.0608378202698,39.95137296930776,35.32231403228129,20.376225886556483,0.9609792962269232,2.921869229588261,2.005113616126692,4.968375740765642,34.988239189747,1.0,0
42.06979439799701,41.51758874748806,35.34134318705855,20.026412279024484,1.0225448241393609,3.0280505605351227,1.9656283014846705,5.036875078408249,34.328782179419704,1.0,0
43.55195345791903,40.75926045663521,34.67133579497249,19.727628182238423,1.0244508267734806,2.990728231075872,1.982866887113476,4.964786644951177,35.372616429887344,1.0,0
43.112820119095645,41.13678981106232,35.099851418093486,20.856659040348188,0.9918716996723076,2.969265436255708,1.9674490908700848,5.061597942257549,35.79028060490462,1.0,0
42.60268887116274,40.016112627752506,34.12781003631028,20.26023711512988,1.014865083424069,3.032589256098311,1.9733796117084523,4.983030403248218,34.079346350215694,1.2,0
42.88676006160658,41.40934302524983,34.85517531084963,20.27156542522876,1.0013515813897778,3.017347163921399,2.0252515290335418,4.815450142670318,33.78262357287704,1.2,0
42.29830175323396,40.17995343152992,34.50905127764868,20.59797652449376,0.9826833776861352,3.0580967012754887,1.932685209135368,4.926779405025411,34.1106720842714,1.2,0
43.20063387098082,41.27893843595139,35.25058298122875,19.860509971100623,0.9907529641467088,3.0514785528754294,1.9923478270047357,4.833451916724878,33.22936469447763,1.2,0
33.37477244551891,32.318182876194406,28.079758412199517,20.27619414162711,0.9914549470732692,3.0095123814646025,2.0250236157586934,1.9876261384111904,32.29233615203675,1.4,0
33.54989036007468,31.767645538198355,27.78622677936093,19.521664141764383,1.0097394496157115,2.9718358595878365,2.000499764749108,2.019229866356236,32.28577995265916,1.4,0
34.452461874101495,31.936969289913968,27.762952945255275,19.96811271563744,0.9662533113208394,2.9131732516546145,1.947092015505824,1.9601101268959409,32.255855505103,1.4,0
33.38427424235516,31.75797596541479,28.7275678467602,19.85749441157543,1.0147503113693417,2.9439829391994072,1.9917824976852947,1.9619991178035767,31.78301883142364,1.4,0
31.52099104522358,27.99815415454844,25.217211821772928,20.095094240932912,0.988117000886064,2.9132365287366926,2.002885180308555,0.7915281166549792,30.139605726812817,1.6,0
31.01354833022453,29.929031756966133,24.880322186263488,19.590601002951253,1.0035855126991262,3.013199801038306,2.0543675030096176,0.8133617799346333,30.214122635489705,1.6,0
31.90724779255613,28.310517428492748,24.68012423362513,19.62936962343779,0.9922038039368848,2.917398831146621,2.025406037872576,0.7964444368464196,29.11751622329841,1.6,0
30.370340969651323,29.181838031521117,25.419063283947192,20.79869235667672,1.0582772493201469,3.02486456599656,1.9604184751987253,0.7658872595082991,30.1606268774063,1.6,0
27.544752986626214,25.784014224706564,21.730677408413683,16.95213109861843,1.0213196046157529,3.0094229140467204,1.9936546065184524,0.783429539954787,27.06217755096556,1.8,0
27.727667570918936,25.972033073574472,22.777889161975143,17.04429333730078,1.0196547902204611,2.9700422640876507,1.952602249343319,0.7845581318042821,27.593873403859977,1.8,0
29.19194305016369,25.57287892680332,22.368935249643997,16.69300475945041,1.0186314602574849,3.023097057966352,1.9937344840936764,0.7993477995818331,27.63331889055954,1.8,0
28.249800432829968,25.763408590222795,21.46073346394241,16.565501224731328,1.0034517583544424,3.0947454753846264,2.0063996645429376,0.798101786782242,28.160062638177425,1.8,0
25.65300087085341,23.10091595062737,16.86028474151653,6.132754645207187,1.0085751287692322,3.092145359519759,2.007329377488876,1.4632659290483851,29.1791044804526,2.0,0
25.825463966115624,23.79288623156032,16.938963467483916,5.9540175214636815,1.029228885844844,2.9335772590773908,1.964210919241767,1.5192998038406715,29.763236926284247,2.0,0
24.997439066639966,22.924816266678725,17.11477534659164,6.168897823357646,1.001811698138035,3.0386363275966115,1.917993115958759,1.4985384479420965,29.49406183782428,2.0,0
24.390593469788183,22.596049911212774,16.886398030161725,6.1099083050827225,0.9734721456452088,3.0018378895556648,1.9806332226666568,1.4901698071691412,30.60165469518276,2.0,0
24.258295409761885,22.58845516727481,13.956738409810027,5.916486886599516,0.99552282366239,3.014549807476273,2.0070629343381485,1.7511789070140455,20.036195912651152,2.2,0
24.10954959846667,23.107688576514924,14.525516491158868,5.897610797932941,0.9942523327690164,2.91219347988978,1.9763717194414605,1.801298659128534,20.48234144835529,2.2,0
23.650039757883068,21.712175566370167,13.398759071673178,5.980480089534611,0.9787517117628088,2.968233634358036,1.9649255688732965,1.7866254005577586,19.296908643457343,2.2,0
23.295818282212323,22.936868729292453,13.63952167724327,5.868385730585443,1.0367382705664263,3.174304030154424,1.9531373348469865,1.7768166873469886,20.136622220376204,2.2,0
22.760626963538463,19.605257168628704,13.93132220313621,6.093280509127409,1.0086953214893324,2.977430635726194,1.9946470814193584,2.081154459401765,21.895203552651147,2.4,0
21.882789504396055,20.0928679558505,13.844508378730676,6.056584622705416,1.0202543163563966,3.009325759660108,2.0140702563359683,2.142275048876333,22.000037132960223,2.4,0
21.682514465241148,20.12659770466932,13.972759752444224,6.251180197071671,1.0314670980495049,3.0231507931533903,1.9694777116122093,2.0923887889991097,22.5241028993591,2.4,0
22.11560965906474,20.192057361356643,13.511515923647227,6.111292617786982,1.0090884067642871,2.9333741589351314,1.981139007702002,2.151287096346459,22.023085391276748,2.4,0
19.88313152567858,17.962744223496255,11.939525429230349,6.018307501452297,1.029429839459863,2.846000493544122,1.9905259894196128,0.903177223584704,24.14207711504981,2.6,0
19.85123416747148,17.36758015830771,12.078718916091386,6.207282025699701,0.9693227719016771,3.051829680821891,1.986858991075084,0.8988961617750808,23.494608714862103,2.6,0
19.86621753105765,18.468016054091624,12.13983725807705,6.207877392649193,1.023548237779554,3.0263452007357747,2.069757381046712,0.9079018768572894,24.397434324862587,2.6,0
19.881371618586115,18.023956493709317,11.832618282407934,6.118750072151382,0.9764339275377026,3.0469410205450598,1.9923739576997936,0.9210824476824118,24.360417114591,2.6,0
18.862715201383438,16.43677099992892,11.235286660688448,5.991965619252216,0.9765598561481036,2.9689032094580234,2.060449137331069,1.6204010819487262,17.74838504571165,2.8,0
17.831006878615696,16.210621398091906,11.317758045343576,5.9194631667124105,1.006240189431025,3.0693187221664013,2.0243504588889776,1.526678735724861,18.10957202245089,2.8,0
18.226220220656657,16.334100452460753,11.97496064614308,5.752411406783431,0.988177931496178,3.035454379367601,1.9367362240218424,1.6472303695377122,18.13260838057224,2.8,0
18.508156570847,16.015014253666937,11.78879317607216,6.128216586718684,1.0046575604027437,3.0140640535619214,2.010813729571269,1.57237295152834,17.94688967511347,2.8,0
16.948142338966196,15.11501815930605,12.03595852227083,5.872975670162591,0.9974998193936084,3.0888873328595383,1.9702564708474972,1.2786214995504517,25.1011530959156,3.0,0
17.28709096476501,15.003427816668198,12.11363469934313,6.102815277907983,1.0168364013378013,3.033246990079446,2.0931061240138438,1.294665796089483,23.998238853966743,3.0,0
17.54544648291583,14.862690170712952,11.825459784864956,6.157146082183264,0.9679548091788216,2.924901167153632,1.9359488825152456,1.279352456459339,25.21981830300849,3.0,0
17.178223866556344,15.082882253798566,11.466587251401403,5.722787587604083,1.0010870717078078,2.9716934379817,2.018375430868665,1.3182507942817532,25.069120716029342,3.0,0
16.54780338583253,14.36555445299691,11.41979462346593,5.915439208455615,0.9964077717233708,3.011806565799417,2.0328211390166966,1.5576365271921486,20.208466902292844,3.2,0
16.213336553835585,14.266382940144156,11.487471303497442,5.760832755473501,0.9740705534385048,2.911068876153431,1.906655355206068,1.5487024965791276,20.299773559891094,3.2,0
16.20712779435928,14.35656796343537,11.54616315425664,6.1593223358721225,0.9986172413054772,3.081215153374164,2.0036850663373644,1.5437056957718178,19.762239859120506,3.2,0
15.817345096903804,14.045993717832175,11.21908822849518,6.096430202325433,1.0344153966233196,2.917069109077377,2.0157130987303966,1.5373269203104534,20.189878835385283,3.2,0
15.55910096498543,13.101993615369471,10.796798962212518,5.927399914462953,0.989321995232529,2.9358148553226187,1.9738286689324975,0.6454769976408951,15.93944181090035,3.4,0
15.702542544712133,13.698442744268648,10.87998027097197,5.958865661896275,0.9704628436630852,3.0640333449943187,1.9867404731161096,0.6542667832905904,16.12268067621839,3.4,0
15.559085090576556,13.694867043180592,11.013614662746775,6.249237663486451,1.0013876227026557,3.009611435599025,2.043049606298656,0.629175538780578,16.106582519237843,3.4,0
15.591930791438395,13.685383033516455,10.423325813138725,5.809251900802924,0.958540331280174,2.932956953220624,1.9816529886024268,0.6362471476908959,16.619913971977446,3.4,0
15.127374037492562,12.553704674216544,9.96884627358529,5.951150611637961,0.994312723239198,3.011119538964923,2.024766844679016,1.1719934997803372,14.29787842916562,3.6,0
14.46198628506185,12.801622799964742,10.414339397865977,6.026769569115033,1.0286642901321237,3.0054912106903924,2.023231083813192,1.1786599166123324,13.952285877274022,3.6,0
14.569273210569277,12.910157147893134,9.73139563654122,6.079870228357612,1.0217057400889182,3.0219918844342333,1.988550050657772,1.1907135876716852,13.913571544447006,3.6,0
15.076921949137686,12.331160042440928,9.833549741112508,5.761102560585121,0.970098783395456,3.0818317337888343,2.0358073992788674,1.1630202664944789,13.579299032308548,3.6,0
13.452144752377288,12.166300105048572,9.855038022302512,6.052186112575637,0.9888085542790102,3.027904812570018,1.9375616658802224,0.8648265734890611,14.027853692444408,3.8,0
14.27537521357918,12.49453830593576,9.464793302532378,6.08019912217296,0.9862325543553848,3.0538689245046333,2.06515747790496,0.8531193983580654,13.751445216399922,3.8,0
14.682034320187588,12.252929379273017,9.663918421708514,5.946895714572938,1.0291009115254142,3.007889149008327,2.010329152932908,0.8972260935770564,13.898704266315631,3.8,0
14.030839080565464,12.189653204825024,9.48503878272091,5.812108911338338,1.0127494180530223,2.967673720942936,2.0459125064293424,0.8283398706947318,13.779761582970831,3.8,0
12.561518280679136,10.81822951739993,9.5470565212107,5.978492804946029,0.9949324486210396,2.9904489077171963,2.0081355296247976,1.0778122070772518,15.212054892269716,4.0,0
13.172293152300224,11.08470834628434,9.60574135412274,6.03557016009704,1.0407014660546214,2.9947743497368493,1.987716671266617,1.0834223932321378,14.690321198826648,4.0,0
12.67643733522372,10.804464591089198,9.486570727486106,6.040115415419726,1.0010228411710431,2.954067883354217,2.0360073825607987,1.1162670787906208,14.952105507773394,4.0,0
12.830241802387174,11.120654142582556,9.53571498162236,5.826224728870194,0.998640394880312,3.0157221487244628,1.9640122085404896,1.1041765546424238,14.563553254422663,4.0,0
13.142063641603116,11.069557196772838,9.253031775819649,6.0436145205406895,0.9518015606840023,2.93061914038408,1.9882488431939147,1.3406235552129042,12.17145515583136,4.2,0
13.311307911871488,10.545851220603272,9.144231806840155,6.028253804197192,1.0322223229699925,2.926657541247606,2.009961444892278,1.4199035885122795,11.603577804436975,4.2,0
12.472046283047469,10.70850097300446,9.203170555208894,6.097512154530437,1.0048331943964168,2.893502276421472,2.0206164161160323,1.3541754344864554,12.305867332065898,4.2,0
12.639337590672149,10.662491098849918,9.400650479609643,6.091551177880432,1.008961987278724,2.8988641609569115,2.02152137759713,1.3416599593841216,12.056466266781184,4.2,0
12.046913860021034,10.492835006688958,8.854812197224673,5.358910188471342,1.014276402729648,3.014498671300605,1.975440927944284,1.2039575850670927,12.885430370391866,4.4,0
12.407962703144792,10.45593399711715,8.88846013185685,5.551824992273993,0.9893309530567056,2.9753017006670275,2.054505705592134,1.145650286371209,12.372677113958332,4.4,0
12.79951237476295,10.930260214142258,8.92705153221912,5.28694781553178,0.9937903204760812,2.98282662300956,1.9924030463591096,1.1439467198190287,13.150685897043886,4.4,0
12.530077829070953,10.089163631077584,9.12585541170508,5.725795348014048,1.0034392066487412,2.9797604902758894,1.9943198714236992,1.1843970083470643,12.550025382568124,4.4,0
12.340440112932416,10.219564426410662,8.814130252202528,5.480840999281455,1.0333577522223905,2.93377555813308,2.023490366672112,1.107026805803407,15.230595353161917,4.6,0
12.343639444200688,10.54977888038731,8.444955410271277,5.313884108591326,0.9996487434704512,2.945854614312449,1.9863063624534447,1.0982050690669274,14.97124781303519,4.6,0
11.902548048527112,10.39930576811826,8.411137821651154,5.217878122399737,1.015696880732163,3.0163421853164545,1.9714450070385403,1.0710297353567189,15.759100447857444,4.6,0
12.385940253149869,10.79081607023292,8.57143206178324,5.542647345538822,0.9966614413978288,3.0490065520320475,2.025003408049926,1.1275379501884344,15.33838989522244,4.6,0
11.697243836385226,9.706095778501252,8.126528275388639,5.664821188432641,0.990823190137014,2.974513576332414,2.012563088954792,1.164249180899698,12.738013413284971,4.8,0
11.268580559413904,9.637965810804287,7.874813386566169,5.244760838637524,0.980727231112624,2.945090633049245,1.9919558138192468,1.1960434018648505,12.438734837202324,4.8,0
11.556727962016009,9.78883690992215,8.167867779430615,5.3926445302273605,0.981788502321571,3.033512937556453,1.991138555370768,1.1851511417626015,12.496588302051176,4.8,0
11.965592620949138,9.597124689648036,7.998066455873877,5.476824098420053,0.9756821815179174,2.906191323127879,2.0274299614109865,1.1617877142560993,12.244429929588168,4.8,0
12.27633998151686,10.532371884613957,8.398590139214543,5.8204033572116005,0.9815422711620948,3.0876707320032195,2.011303479316772,0.6396681972298115,11.726361379409704,5.0,0
12.02459417468345,10.39224962564488,8.810256282244639,6.065848658263695,0.996246580181431,3.0166886235872776,2.006324763396204,0.6397998691024701,12.193681987666672,5.0,0
11.901511489379626,9.837062677599786,8.976307189986667,6.142527011191433,0.9795875396097332,2.8884098756072625,2.003961392840288,0.6417285616520166,12.431422685384234,5.0,0
12.427009202736958,10.223426360503348,8.642809010601065,6.001374155000478,0.9940147059222948,2.9390959256562708,2.0819502260345315,0.6524931218661089,12.2726516840533,5.0,0
10.895571211686374,9.255613517022104,7.190826950148702,5.044254562420405,1.0249933053408755,3.0381222685716764,2.0296005694521733,1.2963048008543283,10.57156619568044,5.2,0
10.70403832920345,9.11521903608872,7.021020741843424,4.872015904235997,1.0336363323860165,3.1037397204531425,2.0543688240118243,1.2865334634715102,10.783631275400058,5.2,0
11.102675806093604,9.136909104395396,6.944727065394398,5.039699130449884,1.0012077185684884,2.9218408729899323,1.997952115527336,1.2779589231652655,10.877487844995375,5.2,0
11.298515358929976,9.102083069914643,7.135327797991753,5.00442123781042,0.995941720304089,2.935054368156703,1.9939579248957229,1.2608998846296957,10.23743373682614,5.2,0
10.708379024684078,8.667297521508516,6.557007778453941,3.9901852290003896,1.0199140277179986,3.0635534243337794,2.0410334737154097,0.9807626988552686,8.847891840965552,5.4,0
10.370255848600092,8.659272043617062,6.8515820846736615,4.102986488928405,1.0219995930068415,2.992066280608129,1.9502317648455647,0.9737455106985864,9.039101615065896,5.4,0
10.557158351977446,8.500602213410643,6.834392334835906,3.959683380687151,0.9874386783254924,3.0186871700582065,1.983920296794832,0.9847844460239756,9.049176724113382,5.4,0
10.358441051768589,8.517226526695149,6.995537663828638,3.907033638981257,0.9576669110205894,2.8882892908054494,2.0011643978630667,0.9806059786494408,8.978830046023479,5.4,0
10.550123104759273,7.856309484104913,6.652263271424868,4.124915056144286,0.9774443847021658,2.977211609292606,1.9698843233108552,0.8053327248443285,7.947798079196313,5.6,0
10.594061968439007,8.605006188130929,6.5556560222947,4.1524048171251575,1.0007115295396924,3.1052214616020644,1.9962680540138604,0.8221493483471567,8.058475915622854,5.6,0
10.954843857949712,8.441313405424236,6.506641082046406,4.0775198296220685,0.9927633492583132,2.9706149890259272,2.036344054395685,0.8205098036394468,8.044572146321888,5.6,0
10.30288095570425,8.355872799016504,6.656095498461571,3.845042645383567,1.0133314533721909,2.941078834810182,1.942308034577624,0.8190420556007176,8.013436960530314,5.6,0
9.861298767085543,8.132965097226876,6.325517228371782,3.9674445000981953,0.98830251730134,2.9972047637796395,2.0111545713858896,0.6368973916548939,7.101399574843871,5.8,0
10.01260047366694,7.697288599470094,6.245383112748386,3.999014456565655,0.995580653644273,2.993794793185522,1.9988807017387915,0.6529322779136324,7.132670945378762,5.8,0
9.777779019816489,7.812484545135873,6.35786789847464,4.023113333373496,1.0248989475729289,2.9741196337056293,1.8999320062336136,0.6278480927860651,6.883374858808558,5.8,0
9.888454222500958,7.934657819639244,6.505015545987519,3.975060293534204,1.0209867922108682,2.9594389616591177,1.9655072816209784,0.6562253820007661,6.785010110210344,5.8,0
9.473262040600162,7.415177871191487,6.381127361290475,4.127062088571941,0.9875558510941056,3.1236178902314444,1.990982742030876,0.428762255284262,11.01538230781886,6.0,0
9.197665902340072,7.288740134523602,6.450820262401983,4.04444656709201,0.9875566459949148,3.0592443087027843,2.046300310320845,0.452639455457757,11.11647094956766,6.0,0
9.656324597872112,7.12164183265984,6.359307961775557,3.930639579494126,1.0023845172225478,2.965713046848196,1.9933536863220107,0.4565631389457956,10.962661644787516,6.0,0
9.47779295563176,7.365624139171214,6.409691300858476,4.000481334434886,1.0089664813194632,3.0699184521328307,2.065895759904133,0.4427246567208007,11.129700314927833,6.0,0
8.988240930309855,7.187345749092151,6.316595893645566,3.0519581183050297,1.004232194655901,3.0531836375740773,2.0196306683597527,1.9046513928072468,11.063659014530565,6.2,0
9.134551509934928,7.248361140998355,5.8366062973942565,3.022973144183103,0.9270317434957044,2.896592195555675,2.0180707440376398,1.8777640913463247,10.744265668369216,6.2,0
9.068973224294275,7.397357902360436,6.139980263684988,3.134575218744179,0.9999616029364732,3.024482170612876,2.064674975939944,1.8648742087223955,10.779484324248024,6.2,0
9.179810148888247,7.194872053988627,6.030772035127006,2.984650075719551,0.9851561581200512,3.0554614654312457,2.00138447496741,1.8494799981317105,10.976639975263032,6.2,0
9.040161963313109,7.086353987956569,5.880034532559675,2.937504742042724,1.0220935843080503,2.9752597876677163,1.943326316296125,1.7150896321190257,10.597307659266864,6.4,0
8.724471253693793,7.032127440164905,6.088269971091405,3.022463187102376,1.0126396296752278,2.915743854114555,2.013241606199848,1.6897109281780047,10.398614066667824,6.4,0
9.156700009695552,7.207098431494392,6.2153244065520425,3.0788884722903544,0.9978053163673964,3.0211632097815806,2.03067291487137,1.7041200502761815,10.527460479461425,6.4,0
9.148275563737712,6.99170042955637,5.91248556763516,2.9751316160498487,1.0126782075546747,3.0001795974719974,2.0136083990747333,1.7227826942348743,10.421283292791502,6.4,0
8.933099676798847,6.8515225940703415,5.656761681918268,3.086538287471175,0.9899851051248616,2.900694279408889,1.958198251616548,1.616305509697615,9.509912930544932,6.6,0
8.751802311023862,6.754190852400879,5.871885427995967,3.020392521671562,1.0063209574128855,3.0245897074397217,2.0246453867200893,1.5804375397213444,9.430756732069751,6.6,0
